,region,Long10,Lat10,Altitude,TempAnn,TempDayRng,Isotherm,TempSeas,TempMax,TempMin,TempAnnRng,PrecAnn,PrecWetP,PrecDryP,PrecSeas,WaterDefDur,WaterDefSev,WaterExcDur,WaterExcSev,HyperSeas,DaysFrost,Cloudiness,PotentialET,AridityIndex,GrassCover,IflamIndex,Rockiness,Sandiness,SoilDrain,SoilWaterStorage,SoilFert,Salinity
AtlPR099,south,-50.89,-26.07,1152,15.8,12.1,58,318,25.8,5,20.8,1627,170,96,18,0,0,350,431,0,11,117,1320,123,0,0,5,15,50,70,37,0
AtlPR100,south,-51.82,-26.25,1038,16.4,12.5,59,322,26.6,5.3,21.3,1848,197,105,18,0,0,360,648,0,9,120,1369,136,0,0,5,15,50,70,37,0
AtlPR101,south,-51.33,-26.27,950,16.2,12.2,59,317,26.2,5.5,20.7,1698,170,109,15,0,0,360,498,0,9,0,1347,127,0,0,5,15,50,70,37,0
AtlPR102,south,-51.38,-26.51,1277,15.2,12.2,59,314,25.1,4.3,20.8,1771,180,115,13,0,0,360,571,0,53,141,1300,136,0,0,5,15,50,70,17,0
AtlRJ087,north,-44.6,-22.34,1395,15.6,12.5,66,210,23.5,4.5,19,1875,329,26,75,0,0,200,952,0,33,163,1353,139,0,0,20,25,35,56,17,0
AtlRS013,south,-49.82,-28.55,1165,14.1,9.5,55,271,23.4,6,17.4,1722,176,115,15,0,0,360,522,0,10,125,1136,152,0,0,5,15,50,70,17,0
AtlRS014,south,-50.07,-28.91,1103,14.6,9.5,54,278,23.9,6.4,17.5,1815,179,129,12,0,0,360,615,0,8,125,1129,161,0,0,20,15,50,66,17,0
AtlRS015,south,-50.2,-29.31,909,15,9.4,53,291,24.2,6.4,17.8,1969,187,137,9,0,0,360,769,0,7,0,1135,173,0,0,20,65,50,54,37,0
AtlRS016,south,-50.03,-29.35,938,14.9,9.1,53,286,23.9,6.6,17.3,1898,181,136,9,0,0,360,698,0,7,0,1105,178,0,0,20,65,50,54,37,0
AtlRS017,south,-50.39,-29.42,906,15.5,9.5,52,303,24.9,6.7,18.2,2032,193,137,9,0,0,360,832,0,6,0,1150,177,0,0,20,15,50,66,17,0
AtlRS018,south,-52.64,-28.38,495,18.8,10.5,54,322,29.1,9.6,19.5,1674,177,121,13,0,0,360,474,0,0,0,1345,124,0,0,5,5,50,73,37,0
AtlRS019,south,-52.13,-28.65,434,18.6,10.2,53,323,28.8,9.5,19.3,1618,168,117,11,0,0,360,418,0,0,0,1324,122,0,0,5,5,50,73,37,0
AtlRS020,south,-51.51,-29.09,427,17.8,9.7,52,317,27.8,9.2,18.6,1683,168,116,11,0,0,360,483,0,1,0,1279,132,0,0,5,15,50,70,37,0
AtlRS021,south,-52.95,-29.19,401,18.4,10.4,53,335,29,9.3,19.7,1538,164,95,17,0,0,315,346,0,1,0,1325,116,0,0,5,15,50,70,37,0
AtlRS022,south,-51.38,-29.28,453,18,9.6,52,312,27.9,9.6,18.3,1731,173,114,12,0,0,360,531,0,0,0,1237,140,0,0,5,5,50,73,37,0
